rank,method,params,loo_nll,condition_number
1,ad_target_ridge,lam=0.7,84.998448,27.068892
2,ridge,alpha=0.7,85.165083,6.369161
3,oas,,85.365039,9.458770
4,ad_target_oas,,85.587894,33.555399
5,lw,,86.082027,12.332813
6,ad_target_lw,,86.721701,40.110132
7,ad_target_ridge,lam=0.9,86.793431,21.218938
8,ad_target_optimal,,86.954182,37.963453
9,ad_target_ridge,lam=0.5,87.367628,42.707020
10,ridge,alpha=0.4,88.662983,19.792065
11,ad_ridge,alpha=0.4,91.131666,7.039876
12,ad_linear_lw,,91.191669,5.151193
13,ad_oas,,91.268356,4.274669
14,ad_ridge,alpha=0.2,91.275580,11.634052
15,ad_ridge,alpha=0.7,91.394346,3.213950
16,ad_ridge,alpha=0.1,91.465860,15.246109
17,ad_elastic_net,l1_ratio=0.25;lam=0.1,91.589358,13.521418
18,ad_ridge,alpha=0.05,91.610555,17.623589
19,ad_elastic_net,l1_ratio=0.25;lam=0.03,91.643388,17.831697
20,ad_elastic_net,l1_ratio=0.25;lam=0.01,91.734995,19.579214
21,ad_lasso,lam=0.1,91.789069,10.153621
22,ad_elastic_net,l1_ratio=0.25;lam=0.3,91.809514,7.722309
23,ad_sample,,91.810650,20.561713
24,ad_lasso,lam=0.01,91.851575,18.620130
25,ad_lasso,lam=0.03,92.108486,15.819419
26,ad_lasso,lam=0.3,93.224443,2.345691
27,ad_target_ridge,lam=0.3,99.966825,83.556475
28,ridge,alpha=0.2,112.571330,51.112172
29,ridge,alpha=0.1,177.364684,113.752388
30,ad_target_ridge,lam=0.1,196.882021,288.905963
31,ridge,alpha=0.05,324.055755,239.032818
32,elastic_net,l1_ratio=0.25;lam=0.3,37772.497995,1055600.005126
33,elastic_net,l1_ratio=0.25;lam=0.1,70638.502382,1185882.154534
34,elastic_net,l1_ratio=0.25;lam=0.01,89782.138439,1246092.605700
35,elastic_net,l1_ratio=0.25;lam=0.03,90878.544663,1232697.339816
36,lasso,lam=0.3,94765.836170,503460.247056
37,lasso,lam=0.1,329211.592154,962552.648914
38,lasso,lam=0.03,413369.334688,1163604.894880
39,lasso,lam=0.01,448028.282383,1223005.870585
40,sample,,1635708.465389,1252804.306331
